,Term,SchoolYear,county_fips,TeachingMethod,StudentMaskPolicy,useit,useit_ind
16840,Fall,2021-2022,31079,Full In-Person,Required all students,1,0.8596491228070176
16842,Fall,2021-2022,31079,Full In-Person,Required all students,1,0.8596491228070176
16914,Fall,2021-2022,6089,Full In-Person,Required all students,1,0.8145695364238411
16920,Fall,2021-2022,48185,Full In-Person,Required all students,1,0.8363636363636363
16924,Fall,2021-2022,6089,Hybrid/Partial,Required all students,1,0.8145695364238411
16930,Fall,2021-2022,48185,Hybrid/Partial,Required all students,1,0.8363636363636363
16934,Fall,2021-2022,6089,Pending,,0,0.8145695364238411
16940,Fall,2021-2022,48185,Pending,,0,0.8363636363636363
16944,Fall,2021-2022,6089,Full In-Person,Not required,1,0.8145695364238411
16950,Fall,2021-2022,48185,Full In-Person,Not required,1,0.8363636363636363
16995,Fall,2021-2022,8037,Full In-Person,Required all students,1,0.8125
17010,Fall,2021-2022,28107,Full In-Person,Not required,1,0.8214285714285714
17018,Fall,2021-2022,21223,Full In-Person,Required all students,1,0.8026315789473685
17021,Fall,2021-2022,21149,Full In-Person,,1,0.8
17085,Fall,2021-2022,13143,Full In-Person,Required all students,1,0.8085106382978723
17095,Fall,2021-2022,18071,Full In-Person,Not required,1,0.8222222222222222
17097,Fall,2021-2022,17051,Full In-Person,Not required,1,0.8
17104,Fall,2021-2022,29013,Full In-Person,Required all students,1,0.8105263157894737
17107,Fall,2021-2022,13269,Full In-Person,Required all students,1,0.875
17108,Fall,2021-2022,1023,Full In-Person,Required all students,1,0.875
17110,Fall,2021-2022,21191,Full In-Person,Required all students,1,0.8409090909090909
17126,Fall,2021-2022,13153,Full In-Person,Required all students,1,0.835820895522388
17130,Fall,2021-2022,47081,Full In-Person,Required all students,1,0.9375
17137,Fall,2021-2022,29179,Full In-Person,Required all students,1,0.8636363636363636
17138,Fall,2021-2022,53039,Full In-Person,Required all students,1,0.8484848484848485
17143,Fall,2021-2022,47125,Full In-Person,Required all students,1,0.8064516129032258
17150,Fall,2021-2022,29163,Full In-Person,Required all students,1,0.810126582278481
17151,Fall,2021-2022,26067,Full In-Person,Required all students,1,0.8319327731092437
17153,Fall,2021-2022,47125,Full In-Person,Required all students,1,0.8064516129032258
17160,Fall,2021-2022,29163,Full In-Person,Required all students,1,0.810126582278481
17161,Fall,2021-2022,26067,Full In-Person,Required all students,1,0.8319327731092437
17187,Fall,2021-2022,47001,Full In-Person,Required all students,1,0.8091603053435115
17200,Fall,2021-2022,53029,Full In-Person,Required all students,1,0.8151260504201681
17206,Fall,2021-2022,51023,Full In-Person,Unknown,1,0.8333333333333334
17208,Fall,2021-2022,28001,Full In-Person,Unknown,1,0.875
17209,Fall,2021-2022,41057,Full In-Person,Unknown,1,0.810126582278481
17245,Fall,2021-2022,48217,Full In-Person,Not required,1,0.8013245033112583
17258,Fall,2021-2022,18071,Full In-Person,Not required,1,0.8222222222222222
17265,Fall,2021-2022,51023,Full In-Person,Not required,1,0.8333333333333334
17309,Fall,2021-2022,48001,Full In-Person,Not required,1,0.8333333333333334
17314,Fall,2021-2022,48001,Pending,,0,0.8333333333333334
17319,Fall,2021-2022,48001,Full In-Person,Required all students,1,0.8333333333333334
17331,Fall,2021-2022,31073,Full In-Person,Not required,1,0.8285714285714286
17364,Fall,2021-2022,16049,Full In-Person,Not required,1,0.8541666666666666
17366,Fall,2021-2022,17025,Full In-Person,Not required,1,0.803030303030303
17381,Fall,2021-2022,26037,Full In-Person,Not required,1,0.84375
17382,Fall,2021-2022,8089,Full In-Person,Not required,1,0.825
17383,Fall,2021-2022,20119,Full In-Person,Not required,1,0.8125
17385,Fall,2021-2022,21073,Full In-Person,Required all students,1,0.8780487804878049
17387,Fall,2021-2022,18023,Full In-Person,Required all students,1,0.8539325842696629
17392,Fall,2021-2022,21073,Full In-Person,Required all students,1,0.8780487804878049
17394,Fall,2021-2022,18023,Full In-Person,Required all students,1,0.8539325842696629
17444,Fall,2021-2022,17041,Full In-Person,Not required,1,0.825
17529,Fall,2021-2022,20097,Full In-Person,Not required,1,0.8055555555555556
17530,Fall,2021-2022,22091,Full In-Person,Not required,1,0.8
17535,Fall,2021-2022,20097,Full In-Person,Required all students,1,0.8055555555555556
17536,Fall,2021-2022,22091,Full In-Person,Required all students,1,0.8
17584,Fall,2021-2022,1093,Full In-Person,Not required,1,0.8522727272727273
17585,Fall,2021-2022,48193,Full In-Person,Not required,1,0.8088235294117647
17598,Fall,2021-2022,18149,Full In-Person,Not required,1,0.9
17625,Fall,2021-2022,18009,Full In-Person,Not required,1,0.8076923076923077
17747,Fall,2021-2022,21173,Full In-Person,Required all students,1,0.95
17748,Fall,2021-2022,39047,Full In-Person,Required all students,1,0.8148148148148148
17756,Fall,2021-2022,18149,Full In-Person,Not required,1,0.9
17757,Fall,2021-2022,42031,Full In-Person,Not required,1,0.8
17828,Fall,2021-2022,37151,Full In-Person,Not required,1,0.8035714285714286
17830,Fall,2021-2022,21045,Full In-Person,Not required,1,0.8214285714285714
17831,Fall,2021-2022,18161,Full In-Person,Not required,1,0.8214285714285714
17845,Fall,2021-2022,18017,Full In-Person,Required all students,1,0.9032258064516129
17847,Fall,2021-2022,18101,Full In-Person,Not required,1,0.875
17960,Fall,2021-2022,18071,Full In-Person,Required all students,1,0.8222222222222222
17962,Fall,2021-2022,38007,Full In-Person,Required all students,1,1.0
17967,Fall,2021-2022,18023,Full In-Person,Unknown,1,0.8539325842696629
17987,Fall,2021-2022,35006,Full In-Person,Not required,1,0.8163265306122449
18024,Fall,2021-2022,13193,Other,Not required,0,0.8125
18028,Fall,2021-2022,39107,Other,Not required,0,0.8125
18042,Fall,2021-2022,5043,Full In-Person,Not required,1,0.8269230769230769
18045,Fall,2021-2022,21231,Full In-Person,Not required,1,0.8269230769230769
18049,Fall,2021-2022,13159,Full In-Person,Not required,1,0.8269230769230769
18051,Fall,2021-2022,49037,Full In-Person,Not required,1,0.8103448275862069
18052,Fall,2021-2022,28077,Full In-Person,Not required,1,0.8214285714285714
18065,Fall,2021-2022,18129,Full In-Person,Required all students,1,0.8131868131868132
18068,Fall,2021-2022,48159,Full In-Person,Required all students,1,0.810126582278481
18070,Fall,2021-2022,13209,Full In-Person,Required all students,1,0.810126582278481
18071,Fall,2021-2022,1097,Full In-Person,Required all students,1,0.8181818181818182
18103,Fall,2021-2022,28145,Full In-Person,Required all students,1,0.8214285714285714
18108,Fall,2021-2022,28145,Full In-Person,Required all students,1,0.8214285714285714
18137,Fall,2021-2022,18149,Full In-Person,Not required,1,0.9
18149,Fall,2021-2022,19191,Full In-Person,Not required,1,0.8181818181818182
18216,Fall,2021-2022,48409,Full In-Person,Not required,1,0.8303571428571429
18219,Fall,2021-2022,26067,Full In-Person,Not required,1,0.8319327731092437
18222,Fall,2021-2022,5003,Full In-Person,Not required,1,0.8125
18225,Fall,2021-2022,18129,Full In-Person,Not required,1,0.8131868131868132
18244,Fall,2021-2022,17051,Full In-Person,Not required,1,0.8
