,Term,DistrictID,SchoolYear,county_fips,Enrollment,TeachingMethod,StudentMaskPolicy,avg_enr,useit,useit_ind
55918,Fall,891798,2020-2021,18071,589.0,Pending,Pending,1286.659090909091,0,0.8222222222222222
55926,Fall,891212,2020-2021,48483,372.0,Other,Not required,311.5833333333333,0,0.9166666666666666
55927,Fall,891212,2020-2021,40037,372.0,Other,Not required,980.5833333333334,0,0.8055555555555556
55929,Fall,891894,2020-2021,47003,773.0,Hybrid,Pending,2479.2558139534885,1,0.813953488372093
55940,Fall,891480,2020-2021,48285,610.0,Hybrid,Required for all students,1127.2142857142858,1,0.8571428571428571
55948,Fall,891049,2020-2021,48229,112.0,Online Only,Required for all students,196.33333333333334,1,0.8333333333333334
55956,Fall,891382,2020-2021,48409,2268.0,Hybrid,Pending,4505.1875,1,0.8303571428571429
55971,Fall,891150,2020-2021,48219,428.0,On Premises,Required for all students,823.2083333333334,1,0.875
55993,Fall,891642,2020-2021,48435,870.0,Hybrid,Required for all students,618.5454545454545,1,0.8636363636363636
55998,Fall,891214,2020-2021,48195,854.0,On Premises,Required for middle/high school students only,478.4166666666667,1,1.0
56023,Fall,891643,2020-2021,48431,307.0,On Premises,Not required,310.0,1,1.0
56025,Fall,891433,2020-2021,48493,849.0,Hybrid,Required for all students,2284.1875,1,0.9375
56028,Fall,891216,2020-2021,48421,579.0,Hybrid,Required for all students,1340.375,1,0.8125
56032,Fall,891216,2020-2021,19079,579.0,Hybrid,Required for all students,1091.3552631578948,1,0.8947368421052632
56049,Fall,891154,2020-2021,48219,709.0,Hybrid,Required for all students,823.2083333333334,1,0.875
56051,Fall,83779591,2020-2021,6085,483.0,Hybrid,Pending,5668.215311004785,1,0.8018867924528302
56053,Fall,892107,2020-2021,6085,1533.0,Hybrid,Required for all students,5668.215311004785,1,0.8018867924528302
56055,Fall,891217,2020-2021,48341,574.0,Hybrid,Not required,2084.5833333333335,1,1.0
56060,Fall,891105,2020-2021,48353,2001.0,Hybrid,Required for all students,821.75,1,0.8
56062,Fall,891105,2020-2021,16069,2001.0,Hybrid,Required for all students,1432.1489361702127,1,0.8936170212765957
56063,Fall,891105,2020-2021,40009,2001.0,Hybrid,Required for all students,1023.6944444444445,1,0.8333333333333334
56065,Fall,891384,2020-2021,48409,1122.0,Online Only,Required for all students,4505.1875,1,0.8303571428571429
56087,Fall,891774,2020-2021,13045,9205.0,Hybrid,Pending,5111.051724137931,1,0.8
56090,Fall,891895,2020-2021,48419,533.0,Hybrid,Required for middle/high school students only,898.5833333333334,1,0.8055555555555556
56092,Fall,891050,2020-2021,48043,99.0,Hybrid,Required for all students,590.0833333333334,1,0.8611111111111112
56093,Fall,892102,2020-2021,48257,4680.0,Hybrid,Required for middle/high school students only,2646.9166666666665,1,0.8194444444444444
56104,Fall,891524,2020-2021,48167,8542.0,Hybrid,Required for all students,5530.115384615385,1,0.8481012658227848
56105,Fall,9475443,2020-2021,40139,135.0,On Premises,Not required,615.7272727272727,1,0.9545454545454546
56106,Fall,9475443,2020-2021,48421,135.0,On Premises,Not required,1340.375,1,0.8125
56115,Fall,891768,2020-2021,48447,196.0,On Premises,Not required,147.83333333333334,1,0.9166666666666666
56119,Fall,891896,2020-2021,48419,711.0,Unknown,Required for all students,898.5833333333334,0,0.8055555555555556
56124,Fall,891482,2020-2021,48391,150.0,Online Only,Required for all students,438.0,1,0.8125
56129,Fall,891106,2020-2021,48441,200.0,Hybrid,Required for all students,3419.1111111111113,1,0.8333333333333334
56149,Fall,891930,2020-2021,37151,1228.0,Hybrid,Required for middle/high school students only,3583.4285714285716,1,0.8035714285714286
56171,Fall,891107,2020-2021,17041,1232.0,On Premises,Required for all students,1172.95,1,0.825
56172,Fall,891107,2020-2021,48441,1232.0,On Premises,Required for all students,3419.1111111111113,1,0.8333333333333334
